id,ball1,ball2,ball3,ball4,team_code,team_name,team_sequence
1,1,2,3,4,VAN,Vancouver,1
2,1,2,3,5,SEA,Seattle,1
3,1,2,3,6,NYR,NY Rangers,1
4,1,2,3,7,STL,St. Louis,1
5,1,2,3,8,CGY,Calgary,1
6,1,2,3,9,CHI,Chicago,1
7,1,2,3,10,FLA,Florida,1
8,1,2,3,11,VAN,Vancouver,2
9,1,2,3,12,VAN,Vancouver,3
10,1,2,3,13,NSH,Nashville,1
11,1,2,3,14,NYR,NY Rangers,2
12,1,2,4,5,TOR,Toronto,1
13,1,2,4,6,NYR,NY Rangers,3
14,1,2,4,7,NYR,NY Rangers,4
15,1,2,4,8,CHI,Chicago,2
16,1,2,4,9,WPG,Winnipeg,1
17,1,2,4,10,CHI,Chicago,3
18,1,2,4,11,CHI,Chicago,4
19,1,2,4,12,TOR,Toronto,2
20,1,2,4,13,TOR,Toronto,3
21,1,2,4,14,SEA,Seattle,2
22,1,2,5,6,NYI,NY Islanders,1
23,1,2,5,7,VAN,Vancouver,4
24,1,2,5,8,NYR,NY Rangers,5
25,1,2,5,9,SEA,Seattle,3
26,1,2,5,10,CGY,Calgary,2
27,1,2,5,11,NYI,NY Islanders,2
28,1,2,5,12,CGY,Calgary,3
29,1,2,5,13,VAN,Vancouver,5
30,1,2,5,14,SEA,Seattle,4
31,1,2,6,7,TOR,Toronto,4
32,1,2,6,8,CGY,Calgary,4
33,1,2,6,9,NYR,NY Rangers,6
34,1,2,6,10,WPG,Winnipeg,2
35,1,2,6,11,STL,St. Louis,2
36,1,2,6,12,CGY,Calgary,5
37,1,2,6,13,CHI,Chicago,5
38,1,2,6,14,CHI,Chicago,6
39,1,2,7,8,NSH,Nashville,2
40,1,2,7,9,SEA,Seattle,5
41,1,2,7,10,STL,St. Louis,3
42,1,2,7,11,VAN,Vancouver,6
43,1,2,7,12,SEA,Seattle,6
44,1,2,7,13,NSH,Nashville,3
45,1,2,7,14,WPG,Winnipeg,3
46,1,2,8,9,FLA,Florida,2
47,1,2,8,10,CHI,Chicago,7
48,1,2,8,11,CHI,Chicago,8
49,1,2,8,12,NSH,Nashville,4
50,1,2,8,13,NYR,NY Rangers,7
51,1,2,8,14,NYR,NY Rangers,8
52,1,2,9,10,NYR,NY Rangers,9
53,1,2,9,11,CHI,Chicago,9
54,1,2,9,12,WPG,Winnipeg,4
55,1,2,9,13,SEA,Seattle,7
56,1,2,9,14,NYR,NY Rangers,10
57,1,2,10,11,CHI,Chicago,10
58,1,2,10,12,CHI,Chicago,11
59,1,2,10,13,CGY,Calgary,6
60,1,2,10,14,NYR,NY Rangers,11
61,1,2,11,12,FLA,Florida,3
62,1,2,11,13,VAN,Vancouver,7
63,1,2,11,14,VAN,Vancouver,8
64,1,2,12,13,CGY,Calgary,7
65,1,2,12,14,VAN,Vancouver,9
66,1,2,13,14,VAN,Vancouver,10
67,1,3,4,5,VAN,Vancouver,11
68,1,3,4,6,VAN,Vancouver,12
69,1,3,4,7,STL,St. Louis,4
70,1,3,4,8,SJS,San Jose,1
71,1,3,4,9,SEA,Seattle,8
72,1,3,4,10,TOR,Toronto,5
73,1,3,4,11,NYR,NY Rangers,12
74,1,3,4,12,NYR,NY Rangers,13
75,1,3,4,13,NYI,NY Islanders,3
76,1,3,4,14,CHI,Chicago,12
77,1,3,5,6,VAN,Vancouver,13
78,1,3,5,7,TOR,Toronto,6
79,1,3,5,8,VAN,Vancouver,14
80,1,3,5,9,VAN,Vancouver,15
81,1,3,5,10,SJS,San Jose,2
82,1,3,5,11,SJS,San Jose,3
83,1,3,5,12,NYR,NY Rangers,14
84,1,3,5,13,CGY,Calgary,8
85,1,3,5,14,TOR,Toronto,7
86,1,3,6,7,SJS,San Jose,4
87,1,3,6,8,VAN,Vancouver,16
88,1,3,6,9,CHI,Chicago,13
89,1,3,6,10,NYR,NY Rangers,15
90,1,3,6,11,TOR,Toronto,8
91,1,3,6,12,VAN,Vancouver,17
92,1,3,6,13,STL,St. Louis,5
93,1,3,6,14,CGY,Calgary,9
94,1,3,7,8,VAN,Vancouver,18
95,1,3,7,9,VAN,Vancouver,19
96,1,3,7,10,CGY,Calgary,10
97,1,3,7,11,SJS,San Jose,5
98,1,3,7,12,VAN,Vancouver,20
99,1,3,7,13,DET,St. Louis (DET),1
100,1,3,7,14,VAN,Vancouver,21
101,1,3,8,9,WPG,Winnipeg,5
102,1,3,8,10,SJS,San Jose,6
103,1,3,8,11,VAN,Vancouver,22
104,1,3,8,12,FLA,Florida,4
105,1,3,8,13,SEA,Seattle,9
106,1,3,8,14,NYR,NY Rangers,16
107,1,3,9,10,CGY,Calgary,11
108,1,3,9,11,SEA,Seattle,10
109,1,3,9,12,CGY,Calgary,12
110,1,3,9,13,TOR,Toronto,9
111,1,3,9,14,TOR,Toronto,10
112,1,3,10,11,NSH,Nashville,5
113,1,3,10,12,VAN,Vancouver,23
114,1,3,10,13,CHI,Chicago,14
115,1,3,10,14,CHI,Chicago,15
116,1,3,11,12,VAN,Vancouver,24
117,1,3,11,13,CGY,Calgary,13
118,1,3,11,14,SEA,Seattle,11
119,1,3,12,13,FLA,Florida,5
120,1,3,12,14,VAN,Vancouver,25
121,1,3,13,14,WPG,Winnipeg,6
122,1,4,5,6,VAN,Vancouver,26
123,1,4,5,7,WPG,Winnipeg,7
124,1,4,5,8,CGY,Calgary,14
125,1,4,5,9,CHI,Chicago,16
126,1,4,5,10,CGY,Calgary,15
127,1,4,5,11,WPG,Winnipeg,8
128,1,4,5,12,FLA,Florida,6
129,1,4,5,13,CHI,Chicago,17
130,1,4,5,14,SJS,San Jose,7
131,1,4,6,7,SJS,San Jose,8
132,1,4,6,8,CHI,Chicago,18
133,1,4,6,9,NJD,New Jersey,1
134,1,4,6,10,VAN,Vancouver,27
135,1,4,6,11,NYR,NY Rangers,17
136,1,4,6,12,FLA,Florida,7
137,1,4,6,13,VAN,Vancouver,28
138,1,4,6,14,CHI,Chicago,19
139,1,4,7,8,TOR,Toronto,11
140,1,4,7,9,CGY,Calgary,16
141,1,4,7,10,CGY,Calgary,17
142,1,4,7,11,VAN,Vancouver,29
143,1,4,7,12,NYR,NY Rangers,18
144,1,4,7,13,NSH,Nashville,6
145,1,4,7,14,VAN,Vancouver,30
146,1,4,8,9,NSH,Nashville,7
147,1,4,8,10,NYR,NY Rangers,19
148,1,4,8,11,CHI,Chicago,20
149,1,4,8,12,CGY,Calgary,18
150,1,4,8,13,WPG,Winnipeg,9
151,1,4,8,14,VAN,Vancouver,31
152,1,4,9,10,CHI,Chicago,21
153,1,4,9,11,VAN,Vancouver,32
154,1,4,9,12,SJS,San Jose,9
155,1,4,9,13,CGY,Calgary,19
156,1,4,9,14,NSH,Nashville,8
157,1,4,10,11,NYR,NY Rangers,20
158,1,4,10,12,NYR,NY Rangers,21
159,1,4,10,13,CHI,Chicago,22
160,1,4,10,14,NSH,Nashville,9
161,1,4,11,12,WPG,Winnipeg,10
162,1,4,11,13,NJD,New Jersey,2
163,1,4,11,14,CBJ,Columbus,1
164,1,4,12,13,CGY,Calgary,20
165,1,4,12,14,NYR,NY Rangers,22
166,1,4,13,14,NYR,NY Rangers,23
167,1,5,6,7,STL,St. Louis,6
168,1,5,6,8,NSH,Nashville,10
169,1,5,6,9,SJS,San Jose,10
170,1,5,6,10,TOR,Toronto,12
171,1,5,6,11,CBJ,Columbus,2
172,1,5,6,12,SEA,Seattle,12
173,1,5,6,13,NYR,NY Rangers,24
174,1,5,6,14,CGY,Calgary,21
175,1,5,7,8,FLA,Florida,8
176,1,5,7,9,NYI,NY Islanders,4
177,1,5,7,10,TOR,Toronto,13
178,1,5,7,11,FLA,Florida,9
179,1,5,7,12,VAN,Vancouver,33
180,1,5,7,13,CHI,Chicago,23
181,1,5,7,14,WPG,Winnipeg,11
182,1,5,8,9,SEA,Seattle,13
183,1,5,8,10,TOR,Toronto,14
184,1,5,8,11,CGY,Calgary,22
185,1,5,8,12,VAN,Vancouver,34
186,1,5,8,13,SJS,San Jose,11
187,1,5,8,14,VAN,Vancouver,35
188,1,5,9,10,TOR,Toronto,15
189,1,5,9,11,CGY,Calgary,23
190,1,5,9,12,VAN,Vancouver,36
191,1,5,9,13,CHI,Chicago,24
