rank,name,pos,league
1,Gavin McKenna,LW,NCAA
2,Ivar Stenberg,LW/RW,SHL
3,Chase Reid,RD,OHL
4,Caleb Malhotra,C,OHL
5,Carson Carels,LD,WHL
6,Alberts Smits,LD,Liiga
7,Keaton Verhoeff,RD,NCAA
8,Viggo Bjorck,C/RW,SHL
9,Tynan Lawrence,C,NCAA
10,Daxon Rudolph,RD,WHL
11,Ethan Belchetz,LW,OHL
12,Ryan Lin,RD,WHL
13,Oscar Hemming,F,NCAA
14,Adam Novotny,LW/RW,OHL
15,Malte Gustafsson,LD,U20 Nationell
16,Elton Hermansson,RW/LW,HA
17,Oliver Suvanto,C,Liiga
18,Nikita Klepov,F,OHL
19,Xavier Villeneuve,LD,QMJHL
20,Ryan Roobroeck,C,OHL
21,Wyatt Cullen,F,NTDP
22,Marcus Nordmark,LW,U20 Nationell
23,Ilya Morozov,F,NCAA
24,JP Hurlbert,F,WHL
25,Mathis Preston,F,WHL
26,Alexander Command,C,U20 Nationell
27,Yegor Shilov,C,QMJHL
28,Juho Piiparinen,RD,Liiga
29,William Hakansson,LD,SHL
30,Adam Valentini,F,NCAA
31,Carson Wetsch,F,WHL
32,Giorgos Pantelas,RD,WHL
33,Niklas Aaram-Olsen,RW/LW,U20 Nationell
34,Jaxon Cover,LW,OHL
35,Gleb Pugachyov,RW/LW,MHL
36,Jack Hextall,C,USHL
37,Tomas Chrenko,C,Slovak
38,Simas Ignatavicius,F,NL
39,Markus Ruck,F,WHL
40,Casey Mutryn,F,NTDP
41,Adam Goljer,RD,Slovak
42,Tommy Bleyl,RD,QMJHL
43,Ben Macbeath,LD,WHL
44,Nikita Shcherbakov,LD,MHL
45,Brady Knowling,G,NTDP
46,Dmitri Borichev,G,Russia-Jr
47,Tobias Trejbal,G,USHL
48,Michal Orsulak,G,WHL
49,Yegor Rybkin,G,Russia-Jr
50,Brooks Rogowski,C,OHL
